If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Hello, a nova rede social do Orkut, está liberada no Brasil",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Clean Coder Blog,Pull request first - Practical Blend,Beyond Progressive Web Apps Part 1,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",Most Interesting APIs in 2016: Cognitive Computing
Livraria dá adeus a estoque e imprime livros na hora,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Governo brasileiro cria manual para contratação de cloud,The barbell effect of machine learning.,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Shopping app Spring's redesign could be a game-changer
"Apple's new file manager, APFS, is awesome",CSS Containment in Chrome 52 | Web Updates - Google Developers,The End Of Apple Man,19 Tips For Everyday Git Use,Facebook's WhatsApp does something very different than Google,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
Confirmed: Walmart buys Jet.com for $3B in cash,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Two Different Sales Motions . . . .
We are on the verge of a consumer M&A avalanche,Innovation is in all the wrong places,This Super Accurate Portrait Selection Tech Uses Neural Networks,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"Telecoms open shop on Madison Avenue, but will brands buy?",Google cloud boss Diane Greene: We're winning against AWS and Microsoft
Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Spark comparison: AWS vs. GCP,Algorithms and architecture for job recommendations,Scala is the new golden child,"The ""Joel Test"" for Data Science"
Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Learn Hiragana: The Ultimate Guide
Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Goodbye accountants! Startup builds AI to automate all your accounting,Governo define cronograma para plano nacional de Internet das Coisas,Itaú é pioneiro do blockchain,Mobile banking conquista o coração dos brasileiros,Banking Needs a Customer Experience Wake-Up Call
Berners-Lee quer criar outra Web,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP,New MacBook Pro is not a Laptop for Developers Anymore
4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
15 Awesome Sublime Text Plugins For Web Development,Aplicação de visão computacional com OpenCV,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro","Autofill: What web devs should know, but don't",Acesse a versão Material Design do YouTube | Google Discovery,Most Interesting APIs in 2016: Cognitive Computing
The technology behind preview photos,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Testes unitários vs aceitação - Android Dev BR,The Ten Commandments of Egoless Programming,Tasting Dagger 2 on Android,gotwarlost/istanbul
Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Don't Start Big, Start a Little Snowball"
"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Especial: O papel dos grandes provedores de TI na Rio 2016,Assessing Salesforce's platform and ecosystem | ZDNet,Resenha - A Chegada
Nova pulseira tecnológica avisa se você já bebeu demais,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,1º Congresso Brasileiro de IoT - Embarcados,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery
Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,Making open source data more available,The AI business landscape,Goodbye accountants! Startup builds AI to automate all your accounting,"Within a Decade, Retail Banks will be Dead"
"Within a Decade, Retail Banks will be Dead",Banking Needs a Customer Experience Wake-Up Call,The AI business landscape,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Touch (TV Series 2012-2013),Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
Itaú é pioneiro do blockchain,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Confused by blockchains? Revolution vs Evolution,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Banking Needs a Customer Experience Wake-Up Call
Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,"Hello, TensorFlow!","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Google App Engine rocks: A Google engineer's take,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
Promises | Web Fundamentals - Google Developers,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Scrum Community - Scrum Alliance,19 Tips For Everyday Git Use,The Difference Between Sympathy And Empathy - Expanded Consciousness
Aposta na inovação,O que é liderança? Liderança é fazer a diversidade funcionar.,"Little girls doubt that women can be brilliant, study shows",The brilliant mechanics of Pokémon Go,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Google employees are adding 'Lady' to their job titles to fight sexism
7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Introduction · Bitcoin para Programadores,How Coca-Cola Is Harvesting Innovation Energy From Startups,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Live asynchronously.,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com"
WebAssembly Browser Preview,Acesse a versão Material Design do YouTube | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",How I sped up the initial render of my Polymer app by 86%,Squads não-suicidas - Hipsters #08,Progressive Web App - first introduced on Google I/O | airberlin
When to make a Git Commit,Sam Newman - Backends For Frontends,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Seniority,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Firebase Test Lab for Android
What the Google I/O schedule tells us about the future of Android,"Bots, Messenger and the future of customer service",Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Designing smart notifications,"Google acquires Synergyse, an interactive training service for Google Apps",Progressive Web App - first introduced on Google I/O | airberlin
"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Introducing Kotlin support in Spring Framework 5.0,Standing on the Shoulders of Giants - Built to Adapt,Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",A digital crack in banking's business model,Joel on Software,Ordering coffee in Italy: the 10 commandments
Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,SOA com microserviços - Sensedia,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Who sponsors Drupal development? | Dries Buytaert,Google is quietly recording everything you say. Here's how to hear it
Dark Scrum,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,Alecrim/AlecrimCoreData,The Importance of Code Reviews,Firebase Test Lab for Android
Creating Your Code Review Checklist - DaedTech,The Importance of Code Reviews,On DRY and the cost of wrongful abstractions,StrictMode for Runtime Analysis on Android - Google Developers,My favorite people and resources to learn Android programming from,Angular 2 versus React: There Will Be Blood - Free Code Camp
