Title,Recommended Title,Similarity Score
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.9999999999999996
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.4286619032663188
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,0.35495095157186174
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Cashila Announces Convenient Buy and Sell Feature For Ethereum,0.2214618561035547
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,0.20193007640898394
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.9999999999999996
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.4286619032663188
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,0.35495095157186174
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Cashila Announces Convenient Buy and Sell Feature For Ethereum,0.2214618561035547
"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,0.20193007640898394
Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,Innovate Finance Allows Bitfury to Join With Bitcoin,0.10184085507095088
Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,Decentralized Options Exchange Etheropt Uses Automated Ethereum Smart Contract,0.0705764374574048
Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,Real World Swift Performance,0.05355876211986009
Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,Real World Swift Performance,0.05355876211986009
Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,Facebook Messenger bots are here and they want to kill apps,0.05113957180658585
Google Data Center 360° Tour,[Tools] How to Record your Desktop Screen with YouTube,0.23806699413086166
Google Data Center 360° Tour,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",0.23291818453950455
Google Data Center 360° Tour,"Google launches Duo video calling app, a dull cross-OS FaceTime rival",0.19295352230563612
Google Data Center 360° Tour,Slack swips at Skype with video calls and reaction emoji,0.1850858461319254
Google Data Center 360° Tour,Talking Payments - Article Profile - 93% of banks expect video to boost satisfaction,0.1831376095773743
"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",Blockstream Among 10 New Firms to Join Hyperledger Blockchain Project - CoinDesk,0.24984079004602966
"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",Banca IMI Researcher: Blockchain Won't Work if Business Models Don't Change - CoinDesk,0.19182346276935136
"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,0.18618387273945464
"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",Banks find blockchain hard to put into practice - FT.com,0.18479676901648018
"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",DTCC CEO Addresses Blockchain Disruption in Annual Shareholder Letter - CoinDesk,0.17753416806328706
IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.13370883527779154
IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,0.13251020037562167
IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,Coin Center Opens Nominations for the 2016 Blockchain Awards - CoinDesk,0.12787684577046574
IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,IBM Watson is Working to Bring AI to the Blockchain - CoinDesk,0.1248991526618216
IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",0.11870073037275126
Banks Need To Collaborate With Bitcoin and Fintech Developers,So you want to sell to banks?,0.2962261254103413
Banks Need To Collaborate With Bitcoin and Fintech Developers,Infographic Dutch Fintech Scene - HollandFintech.com,0.2221903500292424
Banks Need To Collaborate With Bitcoin and Fintech Developers,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.19181087941641542
Banks Need To Collaborate With Bitcoin and Fintech Developers,Blockchain won't kill banks: Bitcoin pioneer,0.18620701764996128
Banks Need To Collaborate With Bitcoin and Fintech Developers,Banks find blockchain hard to put into practice - FT.com,0.17228245243346976
Blockchain Technology Could Put Bank Auditors Out of Work,When will AI and NLP actually turn Siri into your best friend?,0.21347745924032574
Blockchain Technology Could Put Bank Auditors Out of Work,How Robots Can Acquire New Skills from Their Shared Experience,0.1649818611831165
Blockchain Technology Could Put Bank Auditors Out of Work,Banks find blockchain hard to put into practice - FT.com,0.1358261296759595
Blockchain Technology Could Put Bank Auditors Out of Work,"NASA's Space Robotics Challenge: The Tasks, the Prizes, and How to Participate",0.13347811035057952
Blockchain Technology Could Put Bank Auditors Out of Work,Banca IMI Researcher: Blockchain Won't Work if Business Models Don't Change - CoinDesk,0.12815602895267858
